content,class
great easi use like game play earn coin,1
dont get updat total trash regret updat use suck useless im good buyer dont problem sinc updat,-1
great cheap product easi purchas lot promot,1
disappoint latest purchas written day return ensur shop experi happi noth fals hope clarif pictur support custom claim fall day return polici claim sure fall short compar onlin shop app,-1
great,1
lot good product good price app,1
love eas shop return afford product region singapor easi return process free deliveri,1
qualiti good match review pictur advertis purchas statu whereabout track app deliveri servic provid good shop experi,1
great app e tablet far good hope stay way,1
bought satisfi good receiv,1
lot great deal user friendli,1
great use reliabl deliveri compani,1
start use often cb find lot souc price may higher bit usual still consid good choic,1
good platform valu money purchas,1
rcv time good condit,1
good function easi brows order,1
far exprienc good deliveri pandem period realli fast unlik onlin market cannot even place order,1
love,-1
worth trust type onlin shop custom servic chat good way connect custom,-1
scam scam ever use stupid,-1
great easi use make shop onlin easier,1
good,1
disappoint put price purchas find price lower ask cancel unfair buyer,-1
good easi use,1
far good howev dk lucki draw work,1
good,1
good trustworthi,1
far good,1
good init let ppl use credit card payment individu user sell howev system unfriendli tri deal differ voucher occas buy larg amount voucher self usag dont releas money hold long creat long delay unnecessari stress buyer feedback mani time improv make app also lag time give notifc well also ban famili member account buy voucher togeth due daili limit allow appeal shame,-1
overal find best price rebat ship deal product vs other great onlin shop experi improv everi year servic disput ship product fulfil check great partnership offici store like xiaomi ringk brand giant often great promo price bundl good free gift onlin shop experi owner extraordinari vision class aliexpress servic produxct deliveri fulfil,1
love way present fast deliveri,1
terribl shop return refund alway disput settl toward custom servic send repli serious delet wast time download unless mainland china,-1
good awsom experi,1
good,1
good experi far,1
good develop also protect consum purchas without worri money paid receiv product function way money releas order receiv consum,1
improv rang good competit price prompt deliveri use competit previous recent find better valu,1
cheap good altern amazon peopl say,1
like price competit similar line platform howev wait time refund return return fast lazada,1
great platform shop onlin bewar addict sell good deal,1
pleasant experi love brows thru find surpris buy,1
good,1
one hotwind sg sell oversea indic info anyth come oversea especi pandem must well note tri negoti yo cancel refund declin mention hotwind sg assum alreadi sg great relief instead need earn revenu even put custom health risk better use onlin valu client,-1
far good,1
far good,1
good satisfi costum,1
alway good,1
love shopp wide select product often exclus offer mani excit game win free voucher coin get discount product purchas,1
good line shop good,1
sg good deliveri sometim take long ship sure push matter custom buy onlin thank,1
overal shop experi good minimum cancel,1
fast deliveri good qualiti thank,1
scam guarante refund good receiv describ howev paid th jan good even ship yet today th feb even boat moment simpli refus talk refus ship meanwhil let cancel order refus cancel request money gone get good seem like simpli pocket money,-1
great find purchas good price,1
love super user friendli n gener cheap,1
good shop user requir research,1
good onlin shop payment deduct receiv confirm well done,1
scammer,-1
good buy,1
good need budget safe onlin shop,1
shop shopp easi fast good deal,1
good decent onlin shop,1
great addict though whole new world n need spend time suss best deal actual help u save moolah u time play game plan purchas accord voucher collect one star short full mark lag lot ive samsung feel like year old granni good u want compet like taobao lazada etc,1
alway love recent week realis whenev press cart direct cart instead got hung uninstal instal back abl go cart get cart go back uninstal instal caus hassl hope someth done,-1
great valu money made sever small valu purchas thu far fortun make wise choic result cost save far good deliveri servic sometim errat say least henc star,1
deliv cash collect ok think cash cad payment atm transfer good,-1
love,1
far good shop experi,1
good experi,1
far good receiv stock inform beforehand,1
great except interfac need user friendli keep,1
disappoint take action dishonour cancel buyer order cite stock chang price instantli happen twice year take action despit user report decid boycott till team actual protect buyer,-1
anoth good onlin option sometim product took long arriv,1
allow sell product talli inform punish disappoint custom servic investig team let continu sell product pleas protect buyer,-1
scammer,-1
good,1
good platform compar price platform like qoo lazada usual cheapest option,1
everth come exactli hiccup noth good,1
good,1
experi chang rate star improv refund process arrang courier pick custom home damag wrong custom accept damag lengthi inconveni return refund process unfair fault,-1
fast servic good qualiti product,1
mislead term condit terribl onboard experi polici horribl cust svc team understand user frustrat extrem disappoint first time user,-1
great experi far bugbear deliveri ninjavan would ideal actual take note request deliveri certain time frame inform day ahead instead morn would win win arrang ninjavan buyer,1
total disappoint said fault said fault sigh buyer fault suffer total letdown,-1
conveni plu good deal,1
terribl servic provid good worst oper properli like send time manner suggest u find let us cancel order demand tell close shop buy need date push back n back fair side wait n wait deliv,-1
work well love game use earn coin exchang voucher,1
take long load time even load although ive refresh mani time even verifi payment keep load non stop use love use laggi,-1
tri delet account want use anymor said complet pend order could delet account never delet account great,-1
want claim free free gift first purchas claim state either network error pleas check connect unknown error pleas tri certainli hoax got good thing world noth wrong connect still watch netflix ultra hd tri day alreadi problem still exist tri today claim page becam blank claim,-1
good,1
great shop,1
save alot time travel get cheaper good platform,1
great deal allow shop go easili,1
experi extrem come refund product return say investig matter complet wast time explan gener show noth pretend someth delay repli advic hope get support purchas made case decid buy anymor,-1
spoken custom servic repres noth done push around contact shipper respond state action refund noth custom servic repres servic,-1
good use,1
cheap good,1
abl find larg varieti good local oversea side appli discount coupon purchas unabl use shop discount cashback,1
good,1
disappoint get wors never receiv yet system put deliv check staff push away push away postman realli disappoint,-1
love use year earn coin voucher play game get freebi importantli price cheaper compar outsid especi flash deal,1
great shop mani awesom deal,1
great flash deal lower price compar competitor,1
updat rate one star releas payment vendor without consent whose deliv previous complain vendor said would send would withdraw refund request still arriv rate vendor one star said would make complaint refus anyth let warn other,-1
great shop,1
good app enjoy onlin shop,1
good compar qoo,1
love,1
good,1
happi product list deliveri time servic good,1
great product,1
extrem disappoint sign may welcom gift redeem fine howev voucher first purchas also use sought help live chat said would escal issu get back may wrote may night someon assign help repli voucher error messag said perman limit activ ban non appeal even anyth amaz,-1
lock stay home saviour great thank,1
everyth good helplin support number queue need help slightli way long,1
love,-1
far good,1
great,1
scam click bait ad offer simpli exist order get download wast time,-1
everyth far good purchas littl messi,1
fast deliv that good thing come send wrong damag open disput email prove return back pocket money return postag serious troublesom,-1
great love shop,1
great easi still tri learn way earn benefit coin,1
great care non authent,1
scam anyth two block bought question product loop hole block respons watch show plu lazi repli repli automat repli make less even star unfortun dun neg star give neg star,-1
good experi purchas especi abl survey price referenc local store,1
good app cost lower other high recommend everyon easier use earn free coin money replac,1
buy product far good time servic keep order contact len msia cancel,1
good experi,1
good deal oh addict might need delet week download month end shop,1
great find stuff deliv doorstep,1
far good enjoy time scroll see great price love bank transfer option usual shop onlin due credit card lot measur place shopper overal consider marketplac thank,1
quit number good stuff competit price found,1
great deal clear format navig,1
search click one result detail inform product noth avail purchas notifi stock cancel payment took minut refund take day noob friendli person check stock know money,-1
good,1
good,1
good qualiti stuff,1
great onlin shop,1
realli happi becom frequent buyer sinc covid lockdown find look reason price love deliveri courier rather quick good job,1
good platform earn point prize howev shopeemal voucher purchas current work wast purchas voucher im unabl use shopermal contact custom servic time last week said send email repons technic team respons till,-1
buy risk cannot refund,-1
best onlin shop ever quick deliveri everytim less week come easi use perfect word say use year good bug found alway zoom automat start open pleas fix anyway thank,1
great,1
came come across advertis cheap list scam cannot even find list somewhat close price saw download wast time,-1
describ rather compani disappoint know mani scheme sell counterfeit product fact allow transact reflect social corpor respins consum buyer section trade mark act tma crimin offenc sell counterfeit good singapor includ resel product onlin platform expect,-1
great pp shop love,1
alway use onlin shop never issu great,1
use love time round think stop use doesnt let u get refund u didnt even freak reciev like wth u think money easi earn point u anyhow releas payment never send us what point refund button think alway right plu isnt first time thing happen alreadi tri scam second time even anyth use risk edit opt standard express expens suppos guarante send doorstep freak liabl lost normal mail thing wth u sure opt normal mail tri say even express mail get lost haha that funni man what point express mail gonna get lost liabl,-1
fast good price low,1
nice app onlin shop mani good deal promot,1
pretti happi servic like love experi,1
would great accept gift card like googl gift card,1
good,1
note charg refund refund money back receiv unless accept request total scam trust guarante money back receiv,-1
internet great yet function load slowli,-1
scammer,-1
good qualiti product low price,1
good,1
great experi shop,1
need improv sale product servic especi buyer receiv faulti product either immedi exchang refund buyer ask buyer return faulti product warehous think practic unaccept,1
good choic bargain,1
good app easi understand like thank,1
good,1
overal good shop platform depend lot provid inform list thank,1
met expect good array product,1
honest first imp replica carousel initi thought good prevent scam take way long transfer amt deal complet quit sometim henc evn ad featur dislik hope time transfer complet deal improv p still got money deal complet week actual prompt tt transfer soon week alr soon,-1
dang shake shook twice first result coin shake harder next time said second time got coin check coin histori coin credit account scam,-1
great shop cb fast reliabl,1
far good platform buy especi sale coupon custom servic respons though need keep track sale auto complet sale bit issu receiv,1
offer vast rang good product worth buy,1
till custom servic havent get back refund month alreadi shop suck lazada aliexpress still best,-1
far issu deliveri fast care packag importantli price great,1
good fast deliveri,1
good merchandis good price,1
grate meet household need especi retail store close cb period realli love one current purchas wamp magic flat mop z plu qualiti product demo youtub,1
good platform order wide rang product,1
good,1
great,1
great user friendli platform n lot free promo voucher,1
alway got sort error disappoint,-1
good sale,1
good deliv good condit,1
disgust shop experi sg receiv wrong twice rais return refund request insist need send back offic sought help cs pacifi say help resolv end verdict go singpost label etc go hassl send back offic buyer bewar side regardless whose fault buyer bewar,-1
disappoint chang expiri period coin three two month without notifi user coin balanc also updat inform user much coin expir daili spend limit coin time discov coin expir chanc use signific amount coin expir contact say noth felt cheat,-1
far good come like wat expect n satisfi wif da,1
enjoy brows far purchas rel good ship may take littl longer usual game earn coin overal provid great conveni onlin shop,1
fast servic good reput,1
made st purchas told custom servic entitl welcom gift st purchas welcom gift order simpli cheat st timer user unlik q ezbuy sincer sg cheater tell sinc claim welcom pack st purchas entitl welcom pack will give welcom pack say dont need ask fill form explain scam bewar,-1
great deal friendli inform user interfac,1
good use,1
love shop,1
good,1
first time custom order alreadi receiv good condit complaint thank,1
love alway mani discount also prize win keep shopper entertain also game earn coin daili,1
good,1
far good app,1
coupon discount go plu point platform hate complic game pleas bring back shake coin thingi good stuff,1
user friendli love reason price,1
shop addict love amaz deliv free worth sgd,1
love product arriv time even cheap worth buy,1
good,1
good,1
good shop platform,1
lag alot realli good use,1
fact releas money write review utter bullsh great way scammer sell cheap defect defect week refus return refund take warranti lazada better co make sure money safe secur return within time period issu refund return atleast give us chanc return refund report approv also,-1
much scam voucher cant use point,-1
shop experi good product good deliveri good basic complaint recent purchas,1
good shop platform,1
good rang product variou promot,1
great buy experi,1
far good happi purchas,1
good,1
great platform speedi cash rebat good job,1
one favourit shop onlin servic good alway get time delay would still abl speak custom recent disappoint would wait age recommend ask refund still glad could refund back,-1
great shop cheap qualiti product good worth,1
great use compar orher shop payment mode restrict credit card payment,1
deliveri effici product good,1
good,1
good,1
good servic arriv good condit,1
first time purchas purchas printer good condit fast deliveri wonder im happi thank back,1
easi shop far good receiv good condit within week,1
order kod shoe money kept one month later cancel dont want buy later order lazada week receiv good,-1
nice product good ship fee afford product keep good work team,1
deliv time good condit,1
good shop u need one,1
far good good shop platform far order receiv accur,1
first experi good,1
purchas came defect never show refund refut email lost updat howev last month shipment improv lot defect,1
good user friendli,1
anoth good platform onlin purchas,1
great app shop hassl free addict,1
updat tri turn wifi use data login instead work would advic unabl login tri use data instead updat tri log time shake still unabl login alreadi miss shake sinc yesterday use samsung tri login phone well imposs error messag couldnt add thing cart kept say network error pleas tri later thought might phone problem uninstal instal cant even login keep say thing network error pmeas tri later seem like one face problem custom servic avail mon fri mean one help us suppos make purchas later disappoint pleas fix deal,-1
accident select confirm receiv alreadi msg check track number statu indic confirm lost msg went mia day get payment get noth get refund back email support time repli,-1
great discount everi,1
love use stop other thing want reason price,1
good,1
good reliabl shop experi would good support pre order sale well,1
good,1
product gener reason good qualiti greatest perk shop would price product definit healthi wallet continu purchas via,1
provid good platform onlin shop,1
wide choic n product cheapest far good must homework b purchas,1
custom servic good deliveri charg reason enjoy shop shortli find hard call phone unabl get,1
good thing deliverd quickli find bit disapoint receiv wrong product otherwis realli nice onlin shop,1
good price cheaper howev cancel never ship without notifi unless check notif warranti refund good reli ble,1
smooth interfac decent amount push notif disappoint fine print polici coin usag cap uninstal co know els go fine print weird polici,-1
great shop w mani good deal cheaper app,1
experi great usual go onlin store sure read review receiv bought give review help buyer respons,1
varieti great qualiti deliveri time vari,1
alway feel safe make purchas good experi,1
great shop platform far good,1
good place shop product good n cheap reliabl servic staff help staff,1
great easi simpl step buyer shop onlin,1
good cheaper,1
good servic,1
good onlin shop receiv packag good condit,1
great far good receiv shown ensur read review feedback buyer see genuin,1
user friendli pack full stuff variou choic numer shop refund cancel valid reason process effici althou incid owner aint amiabl reject request refund even gd reason also littl troublesom owner request send back howev still mani good shop nice help owner tri shop endlessli,1
good experi thu far,1
good app coin realli good,1
good onlin shop experi vast varieti good avail platform,1
love shop lot varieti price reason find anyth want shop becom part daili routin,1
use year great easi use wide rang product price reason,1
worth recommend use platform feel like scam,-1
far great experi onlin purchas deliveri prompt track thank wonder experi definit come back sg,1
well pack receiv good price,1
great,1
good,1
overal good onlin shop platform respons reliabl,1
good platform,1
good unexpect,1
good buy app,1
user friendli n feel happi shop great job,1
cancel refund reason wait week receiv infor shipment ninja deliveri parcel date cancel parcel reason complain repli servic,-1
terribl deliveri ethic disput resolut highli irrespons deliveri guy left parcel water meter area without even send messag inform parcel left till rais request refund receiv though say deliv worst thing resolv disput without verifi found total disappoint handl disput total loss confid,-1
fun shop good discount,1
look good,1
good,1
disappoint deliveri timelin alway arriv like wk idk use taobao,-1
good shop experi easi good recommend,1
love onlin move qoo carousel,1
far experi good,1
love brows around user friendli app,1
good place compar price downsid see real qualiti care price import cours subject perspect,1
one fave onlin shop site queri problem handl solv effici team great shop experi,1
good onlin market platform mani choos reason price good custom servic peopl,1
great shop experi reson price love ship rate afford keep overal satifact,1
good place shop,1
user friendli great discount,1
order simpl tactic boot yet receiv atlast repli chat supplier stock refund column claim refund money burn,-1
great platform buy everyth,1
good,1
first time buy got cancel wait day cannot deliv area wait day refund,-1
easi monitor good deliveri compar similar product time like previous even better receiv product dealer press wrongli submit button fill rate way fill remain rate make miss lot coin hope app improv,1
hellooo goddamn refund nearli month ive wait email u u repli isit get momey return custom refund an long month alrdi leh u say june wait day wait mani month alrdi,-1
fast good,1
far good use month,1
great,1
good easi navig,1
great choic realli base price pay dont expect much deliveri slightli delay period thoigh,1
encount horribl respond enquiri phone number even activ without valid busi address look like need improv ecosystem otherwis full scam wast time effort chase updat order one thing improv show mani percentag ship time long averag delay custom know expect,-1
could great unfortun even start sell verifi phone number mean sell look forward fix abl tri,-1
good,1
good respons deliveri refund feedback kudo one best onlin shop singapor,1
full fake vendor purchas product suddenli stock tri replac lower qualiti product price cours also cheat deposit cannot refund check support team told need close account get email get deposit back week close email shopp simpli rob wast time competitor seriou honest,-1
shop experi get better like notif deliveri schedul purchas abil commun make payment easi credit card cancel refund also easi far happi experi search competit price product comparison also easi use upload mani pictur product allow buyer see fulli understand product well,1
good onlin shop,1
custom servic mention mani refund case handl con case fake cert fake product anoth sent bottl order yet releas money rais disput refund took donkey week month wonder platform becom con platform sad,-1
fast free cheap way purchas thing onlin love,1
updat buyer pdt statu hv problem tri pay via credit card hv use bank transfer good thing transact still go,1
use think pretti good recent updat like click shop see product importantli see list notif get prompt upload product start sell pleas give heart attack quickli withdrew money case record disappear,-1
love easi use found mani good deal,1
good deal,1
stop onlin shop sinc happen buy product great fun onlin platform thank relight fire shop star,1
room improv co encount scammer told deal outsid engag detect flush lowlif,1
great feel simpl use fast n laggi great platform,1
overal love whole layout sometim use long start lag that con easi navig clean user surfac,1
good app recommend,1
good fast never crash fast,1
lousi backdat refer friend friend partic event without first purchas system deni friend entitl first purchas give referr voucher dollar live chat team consist low level knowledg team help resolv system error system disappoint,-1
fav shop price better platform navig speedi despit featur pack search result top sale use imag search great activ voucher etc reward lag occasion,1
spam send messag ask cancel order co stock request cancel order never react pleas allow cancel order refund asap want uninstal refund done,-1
far good,1
buy experi good,1
good shop app,1
good mix merchant product experienc slow occasion,1
great onlin platform far good,1
far good shop experi,1
love easi onlin shop,1
refund easi,1
find great deal nice got rogu dealer glad refund,1
gener good must watch scam,1
far good,1
good buyer given right cancel purcha ship rather wait approv howev star easi lucki draw credit back even u win cours hope win soon,1
love user interfac excel conveni buyer come look gentlexmonst,1
found great deal far big problem use quit slow,1
good shop experi less deliveri charger hope add product,1
great sometim confus pay use voucher,1
simpl great experi fast deliveri,1
good,1
good servic,1
good except mayb stock even display stock avail,1
complain reliabl purchas came good condit,1
tri process payment past day wont let keep ask tap load tri instal avail dissapoint good,-1
good experi far search could improv overal prefer mobil shop app,1
offer good deal hope remov sell fake,1
nd onlin shop like st onlin shop like qoo hope gave voucher like qoo gave vip gold sliver green membership reward whose buy lot onlin shop get free membership reward discount price purchas buy lot thing hope u could improv far good disappoint deliveri order,1
good deliveri fast,1
fun way shop uniqu game good offer,1
ship inconsist fast slow otherwis star great shop,1
good deal simpl use clear ui respons,1
best onlin shop use easi use wide varieti good competit price payment guarante till order deliv,1
coin scammer,-1
love,1
unabl rate whose send wrong damag product refund approv henc unabl alert futur buyer notic actual make use loophol play trick wrong order fulfil sinc behaviour expos,-1
custom servic go beyond check shipment statu base last day receiv good,-1
great shop lot choic,1
far good except china promis exchang faulti game set fail deliv overal easi buy fr platform,1
worst custom servic zero consum protect respons bought someth voucher promot wait two month get complain custom servic noth done part except ask wait transact cancel refund money noth done wast time promot keep end improv custom servic,-1
great could use clean though much go home page,1
great onlin shop app,1
unfortun bought sale counterfeit good sell counterfeit origin ad put sale counterfeit sale first page yet didnt anyth think aliexpress qoo still better hope settl issu soon,-1
frequent user app need strict rule requir appli smooth transact buyer list stock end day need go refund process encount mani time request cancel order updat price wrongli honest inform stock partial still proceed shipment rest,1
servic realli recent use buy travel kit ship wrong request return refund contact process till still respons realli think could improv buy anyth trust happen,-1
one best onlin shop app great deal offer make purchas countri much easier improv could made term load speed add special caus slow lag relook ship cost time cost less ship cost said rare receiv order compar buy site,1
great onlin shop,1
good onlin shop,1
shopeewasuselessineveryshap form broughtaextensionplugonlyforittomelt releasetox carcinogen staffdidnotrespondtoanyofmyreport mail sellerdidnotreplynorgivefullrefund atotalscam iprayforothersthattheydidnotsufferthesamefateasm slowsellerstoship slowship englishcannotbeunderstoodbysomesel reportingisuselessasnofeedbackornotificationisgotten theonlyplusisthepricepoint whichgotmewritingthisreview trynottotrust youmightjustendupinaworsersituationthenm extensionplugstillbeingsold gg,-1
great platform great wish stop use ninja van troubl worth,1
prefer cant even trust disappoint full scam,-1
good better flash sale coupon especi critic time like,1
good,1
good custom servic provid,1
great easi purchas thank,1
good n custom support servic,1
good shop,1
good platform find anyth sun,1
good updat place order,1
good bargain,1
disappoint cancel order automat claim ship within agre time frame without inform advanc alreadi call inform ship next day keep tell noth bco due system advis order product stock,-1
good,1
take age load stuck payment part hour one whole day still unabl load first time use definit give good impress,-1
great use covid situat never done onlin groceri shop much discount free deliveri great experi,1
great shop safe travel,1
good,1
good,1
reason price good product,1
good bargain qualiti product alway use,1
good n nice like,1
want get autsium child educ toy keep ask code appli code receiv disappoint,-1
good shop lot good deal still fraudul mum bought toy got scotch tape instead hope help resolv,1
good easi use,1
good line shop experi n lot good deal,1
easi use good product onlin,1
first time tri buy thing good say deal time experi differ first product came broken second one ship week despit tell ship sever time kind qualiti product cheap price bewar,-1
good deal product admin eta deliveri date pretti accur,1
varieti thing best receiv amount deduct love thing cheap uniqu,1
claim deliv deliv first claim deliv untru next day said sent back said sent back claim refund reject refund also get back stop payment purchas lost receiv buyer bewar trust platform,-1
good app enjoy onlin shop sg,1
one best deal good experi custom servic pretti quick respons help,1
good app recommend everyon use earn reward point purchas around world,1
unabl click refund miss purchas tri submit refund respons,-1
great shop afford price,1
good prompt custom servic good gui product select,1
easi use wide varieti product good gener cheaper outsid shop especi daili voucher rebat,1
new updat version full error unabl load bank account page due unknown error clear cach log instal app help seek troubleshoot team solut fail end drag revert back close case satisfi experi updat regret greatli,-1
good deal bargain varieti product brand,1
great find almost want,1
good first shop onlin receiv local first purchas got week cb period china purchas receiv yet wonder packag air frieght sea frieght wait lor,1
lot good deal easi use,1
unabl log use facebook connect page keep refresh tri log method new sign page refresh disappoint,-1
easi shop shower good deliv fast,1
good,1
far good,1
good qoo also trustabl,1
excel onlin shop multipl product great price super fast ship,1
love shop varieti,1
tri friend suggest work fine trial purchas notifi deliveri date shipment check receiv good great detail servic place delight make anoth purchas via select cart checkout got stall payment option page prompt tap load could see load icon motion unfortun see progress next suggest step restart phone log sadli load icon still load motion uninstal sinc,-1
far differ deliveri last mile custom experi posit tri onlin sale site far good overal best hope focu maintain standard,1
point good platform support sell poor qualiti custom servic ignor,-1
good cheap buy alway found,1
first time bought receiv good condit correct fast,1
far good,1
good chip mostli broken receiv,1
deliveri good proper custom support readi solv disput worst custom support,-1
good,-1
like creativ game everyth great far,1
good servic time congratul,1
good,1
second year far good recent covid order much product still enjoy shop thank,1
good altern taobao,1
great shop experi,1
sometim never follow instruct state deliveri time must pm still deliveri even say cant find locat realli disappoint overal still room improv hope see tq,1
good,1
round great get buy stuff oversea typic singapor great deal would better though clamp sell counterfeit also user updat review sever month share product work long term,1
use love,1
actual iam satisfi use app buy stuff bit dissapoint slow respon one problem didnt get refund yet,1
reliabl onlin shop experi bought mani thing far good,1
good shop,1
purchas big prize scam prize never got feedback custom servic help pleas care tri avoid purchas custom servic,-1
good import cheaper buyer respond queri fast also deliveri fast,1
good easi use shopeepay payment secur set password secur,1
far good purchas first experi pleasant far,1
bewar sell counterfeit product get refund,-1
mani fake sold sell fake brand good,-1
good shop platform save fast,1
overal great shop experi would better take better step verifi scammer job persuad refund let continu scam one victim,-1
easi platform shop good worth buy good deal price far issu variou purchas,1
good special period restrict movement,1
good site great custom experi buy right could well price integr throughout,1
alway good ecperi far buy stuff recommend,1
awesom reward great choic product,1
great shop easili buy,1
easi use fast deliveri effici servic easi refund procedur also miss wrong one,1
oh man got shopper life chang greatli could never shoot penalti shop download becom incred score goal video score goal youtub show youtub download shoppeeee u want awesom,-1
great shop,1
victim unscrupul keep say protect buyer insur pay lip servic buyer zero buyer protect warn buy like user review googl map allow cancel even merchant ship enabl abet scam consid legal action frequent ignor consum right,-1
great platform allow buyer get thing lower rate price especi flash deal section realli enjoy shop thank,1
good onlin shop mall much brows hv difficult find direct querri respond,1
good platform buy product better price,1
start use like mani free shop inde find good deal,1
great everyth alway good condit reciev wide rang product good price even collect coin pay less product use highli recommend,1
chang disadvantag custom certainli keep eye new rival better shop platform think custom game work properli keep issu like catch hat flip found mous get coin farm friend even though allow permiss contact frustrat disappoint,-1
far good,1
nice e commerc onlin shop shop one point need point remark session inform deliveri expect great,1
good n fast deliveri,1
great shop good nice insur form guarante ensur receiv product good condit otherwis request refund return howev one slight problem edit photo first upload review rate bit hassl solut use camera featur,1
wish refund process much faster,1
bias platform side buyer word came csr abl delet rate buyer without consent buyer henc imposs know platform reput even base rate dishonest abl remov rate buyer look good recommend unfair platform other,-1
good spend money bore,1
order last decemb ship decemb told product arriv day would br approxim dec decemb said order complet yet receiv order told either resend refund say order complet,-1
easi use mani good deal,1
good,1
far good receiv true advert,1
good simpl use,1
good,1
full scammer,-1
bought look like pictur good qualiti sometim product look like pictur alway check review first ask pictur product,1
releas payment defect rais disput relev depart kept ask send video photo th time today week still unresolv accept paypal payment therefor buyer protect good defect,-1
good servic,1
user friendli find great deal flash sale sold reason price,1
good,1
first time download get scam app get money wont believ instal order bag until still get bag ask return back money ignor until find until get money back recommend app famili friend app cannot recommend,-1
first transact good,1
far good,1
lousi refund polici side resolut non exist unscrupul thrive refus refund offer discount next purchas hell would even order cheat alreadi,-1
shopeepay wallet unabl refund topup back bank account hope user see top state clearli support team abl anyth either except tell unfortun,-1
good,1
great onlin shop almost true pictur quick deliveri,1
good,-1
good onlin shop,1
love shop,1
although process deliveri slow due covid sent good condit,1
great shop offer good price howev coin difficult earn,1
good,1
good make worri,1
great,1
horribl instal payment go bank deduct server work given vari advic like wait hour tri make payment uninstal tri promo code discount taken away pay complain custom svc offic impli uncoop wast time risk payment scam took entitl ask speak manag one call,-1
great shop best price town would give star search option fix use search voucher code pleas fix,1
good get good deal,1
good n friendli vendor need educ pr otherwis better current one low ship cost anoth pull factor,1
user friendli good platform especi commun function buyer n unlik platform abl commut,1
easi use releas payment supplier satisfi product even refund money fast hassl shop onlin,1
good platform buy product need simplifi eas identifi local electr product indic global firmwar,1
site public none stock good cargo fast,1
far supplier deal great,1
good deal lot rang product well support custom servic disput,1
great stuff onlin prompt deliveri great servic,1
overal good buy experi,1
good,1
great use product afford although may best qualiti like ship detail give estim time arriv also easi compar price similar product,1
agre buyer good till deal cant manag mega sale dont cant purchas custom servic cant even address issu total disappoint sinc even till load deal seem problem whether use wifi data,-1
pretti nice could deliv option button instead count n need us extend time even receiv itm still need ask refund abit troublesom especi busi work famili life,1
good cheap,1
great lot freebi buy keep,1
experi good bring world market doorstep good reward system,1
great part deliev miss,1
love much shop everyday haha,1
good,1
rel new purchas far good shop experi problem requir refund hope buyer friendli aliexpress made purchas three improv need tab game would direct current need go level play wish search similar imag tab filter featur sluggish messi,1
good,1
good cheap buy,1
bait consum offer deliv promis schedul wait refund wast time,-1
care new scriber purchas someth caus receiv order abl reject refund unaccept protect buyer help center even respond feedback,-1
good site,1
bought sever use deal local excel howev foreign untrustworthi support case bought work foreign engag respons sever day respons came solut offer engag support repli ask wait day wait week respons tri contact non respons buy product foreign risk support thereaft want give star nope sinc foreign big part dont deserv extra star disappoint,-1
lot product compar flash deal great product cost super low,1
definit great shop singapor find afford compar platform physic store setback well crash lag sometim top sell mayb consid sell servic similar fave eatigo etc,1
great find cheap good product far order good work well veru use,1
good sevic,1
